-31.311619441811729,53.926585739630369,-1.2925104563051091,-1.1081442029365529,0.046601176652860239,-0.015355153091970429,8200,300,31236.9841113652,-2000
-31.441322893085161,53.81905825955846,-1.303741561822342,-1.0259627319692026,0.044949717300738441,-0.018253804515320032,8198.918079591167,299.95000000000005,29729.914040216951,-2000
-31.57211177389069,53.719279264460496,-1.3140209519960533,-0.9555229243023261,0.043008382828603128,-0.021152703066913935,8197.888357879292,299.90000000000009,28443.694530344525,-2000
-31.703892898939916,53.626143555159096,-1.3233988873698417,-0.89510061585737466,0.040777148972821115,-0.024051837856209683,8196.9031855110097,299.85000000000014,27345.596959291172,-2000
-31.836577632316935,53.538708129565826,-1.3319135383175,-0.84322713779311775,0.038255992492970195,-0.026951199588556195,8195.9560467175743,299.80000000000018,26407.734149015865,-2000
-31.970080720824438,53.456168141332185,-1.3395920824946868,-0.798651610996162,0.035444891021992372,-0.029850780329042807,8195.0413916271555,299.75000000000023,25606.343503300293,-2000
-32.10431923726064,53.377836405604,-1.3464517994147607,-0.76030882724544213,0.032343822938524405,-0.032750573301194706,8194.1544934063495,299.70000000000027,24921.176987290473,-2000
-32.239211632061881,53.303125926450072,-1.3525011315979765,-0.72729188591174576,0.028952767258133463,-0.035650572715377242,8193.2913265302341,299.65000000000032,24334.981880421088,-2000
-32.374676889107654,53.231534998678477,-1.3577406919206905,-0.69882887939460347,0.025271703540667247,-0.038550773622531946,8192.4484630370443,299.60000000000036,23833.058678315912,-2000
-32.510633779762095,53.162634503209794,-1.3621642044534978,-0.6742630261451803,0.021300611811339434,-0.041451171789514379,8191.6229840952565,299.55000000000041,23402.884585935488,-2000
-32.647000208189681,53.096057071701331,-1.3657593717747716,-0.65303573989981978,0.017039472493521411,-0.044351763592855011,8190.8124046113744,299.50000000000045,23033.79279302913,-2000
-32.783692640453573,53.031487844203042,-1.3685086659168082,-0.63467220004949965,0.01248826635150972,-0.047252545928233788,8190.0146089462532,299.4500000000005,22716.699203726104,-2000
-32.9206256097454,52.968656584539531,-1.3703900430930027,-0.61876905292745177,0.0076469744417931541,-0.050153516133358708,8189.2277960963884,299.40000000000055,22443.869546647762,-2000
-33.057711290197091,52.907330952929016,-1.3713775844407983,-0.60498392893499886,0.0025155780715603207,-0.05305467192227907,8188.4504329415768,299.35000000000059,22208.720855308711,-2000
-33.19485913200775,52.847310764983234,-1.3714420664129718,-0.59302650730818107,-0.0029059412366264914,-0.055956011329454255,8187.6812143684356,299.30000000000064,22005.652210305969,-2000
-33.331975551019973,52.788423091457318,-1.3705514653290449,-0.58265090019792187,-0.0086176017749076544,-0.058857532662145703,8186.9190292563553,299.25000000000068,21829.900399734623,-2000
